               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.046212,             0.11791,            0.013468,             0.89559,             0.35286,              0.4977,              0.2731,            0.053401,            0.085838,            0.012932,           0.0077725,           0.0077725,           0.0077725
                  92,            0.049619,             0.11131,            0.013548,              0.8093,             0.48109,             0.54124,             0.30903,            0.047286,            0.085487,            0.012939,           0.0077478,           0.0077478,           0.0077478
                  93,             0.04454,             0.10916,            0.013257,             0.72781,             0.42913,             0.47638,             0.27216,            0.051399,            0.085556,            0.013628,            0.007723,            0.007723,            0.007723
                  94,            0.048303,             0.10974,            0.012822,             0.86489,             0.41618,             0.54236,             0.32575,            0.048411,            0.084518,            0.013609,           0.0076983,           0.0076983,           0.0076983
                  95,            0.048232,              0.1064,            0.012868,             0.68457,             0.44868,             0.45028,             0.25744,            0.054863,            0.091965,            0.014017,           0.0076735,           0.0076735,           0.0076735
                  96,             0.05055,             0.11977,            0.013147,             0.82327,             0.41062,             0.51629,             0.29507,            0.047197,            0.085701,            0.012927,           0.0076488,           0.0076488,           0.0076488
                  97,            0.045015,             0.10958,            0.013015,             0.79584,             0.45613,             0.51269,             0.24014,            0.052095,            0.089043,            0.012776,            0.007624,            0.007624,            0.007624
                  98,            0.047502,             0.10729,            0.012694,             0.83391,             0.43332,              0.5567,             0.32313,            0.047897,             0.08374,            0.013614,           0.0075993,           0.0075993,           0.0075993
                  99,             0.04697,             0.11227,            0.012356,             0.78238,             0.44943,              0.5028,             0.26089,            0.054487,            0.090179,            0.012696,           0.0075745,           0.0075745,           0.0075745
                 100,            0.049169,             0.10544,            0.013011,             0.86632,             0.40762,             0.54193,             0.32241,            0.048136,            0.085655,            0.012229,           0.0075498,           0.0075498,           0.0075498
                 101,            0.045236,             0.10323,            0.012707,             0.84714,             0.44098,             0.54176,             0.28959,             0.05212,            0.087013,            0.012536,            0.007525,            0.007525,            0.007525
                 102,            0.048288,             0.10906,            0.012695,             0.86594,             0.44857,             0.56681,             0.34928,            0.046288,            0.082565,            0.012531,           0.0075003,           0.0075003,           0.0075003
